"idGerencia","Gerencia","RelacionDireccion"
"GRC-001","Coordinador de Mtto a Instalaciones","Dirección de Administración y Finanzas"
"GRC-002","Coordinación de Almacen","Dirección de Administración y Finanzas"
"GRC-003","Coordinación de Servicios Generales ","Dirección de Administración y Finanzas"
"GRC-004","Gerencia de Obra Planeación y Mantenimiento","Dirección de Administración y Finanzas"
"GRC-005","Gerencia de Contraloria Administrativa","Dirección de Administración y Finanzas"
"GRC-006","Dirección de Infraestructura","Dirección de Operación de Distribución"
"GRC-007","Coordinación de Monitoreo e Inspección","Dirección de Operación de Distribución"
"GRC-008","Coordinación de Tanques y Rebombeos","Dirección de Operación de Distribución"
"GRC-009","Gerencia de Adminstración del Agua","Dirección de Operación de Distribución"
"GRC-010","Gerencia de Drenaje y Alcantarillado","Dirección de Operación de Distribución"
"GRC-011","Departamento de Análisis y Dictamen Técnico","Dirección de Operación de Distribución"
"GRC-012","Gerencia de Detección y Reparación de Fugas","Dirección de Operación de Distribución"
"GRC-013","Coordinación Centinela del agua","Dirección de Operación de Distribución"
"GRC-014","Direccion De Inversion Y Mantenimiento","Dirección de Operación de Producción y Obras"
"GRC-015","Departamento Seguimiento De Obra","Dirección de Operación de Producción y Obras"
"GRC-016","Coordinacion Integracion Exp Obra","Dirección de Operación de Producción y Obras"
"GRC-017","Departamento De Gestion Ambiental","Dirección de Operación de Producción y Obras"
"GRC-018","Coordinacion Gestion Tram Ambiental","Dirección de Operación de Producción y Obras"
"GRC-019","Coordinacion Sustentabilidad Ambiental","Dirección de Operación de Producción y Obras"
"GRC-020","Gerencia Ftes Abastecimiento Y Produc","Dirección de Operación de Producción y Obras"
"GRC-021","Departamento De Produccion","Dirección de Operación de Producción y Obras"
"GRC-022","Coordinacion Continuidad Operacion","Dirección de Operación de Producción y Obras"
"GRC-023","Coordinacion De Macromedidores","Dirección de Operación de Producción y Obras"
"GRC-024","Coordinacion Modelacion Agua Sub Superf","Dirección de Operación de Producción y Obras"
